Scrip Code,Company,LTP,Change Val,Pts Contribution
532856,TIMETECHNO,83.7,-0.35,-0.07
531266,VSTTILLERS,1987.75,-10.4,-0.07
500033,FORCEMOT,1541.35,-8.2,-0.07
542597,MSTC,313.05,-1.7,-0.07
509820,HUHTAMAKI,314.1,-1.7,-0.07
506197,BLISSGVS,111.7,-0.75,-0.07
536507,FLFL,72.4,-0.5,-0.07
540602,GTPL,199.15,-1.5,-0.07
541161,KARDA,183.9,-1.9,-0.07
530803,BHAGIL,286.6,-3.2,-0.07
504741,INDIANHUME,238.3,-2.85,-0.07
505192,SMLISUZU,606,-7.4,-0.07
532150,INDRAMEDCO,84.45,-1.05,-0.07
504212,UNIVCABLES,194.85,-3.2,-0.07
531795,ATULAUTO,218.5,-4,-0.07
523660,WATERBASE,132.2,-2.95,-0.07
532930,BGRENERGY,67.6,-2.2,-0.07
500250,LGBBROSLTD,464.4,-2.95,-0.08
540724,DIAMONDYD,763.65,-6.75,-0.08
502180,SHREDIGCEM,87.5,-0.8,-0.08
505800,RANEHOLDIN,691.65,-6.9,-0.08
517380,IGARASHI,543,-6.35,-0.08
533326,TEXRAIL,38.45,-0.45,-0.08
532794,ZEEMEDIA,12.67,-0.17,-0.08
531349,PANACEABIO,358.8,-6.45,-0.08
531120,PATELENG,18.9,-0.4,-0.08
532369,RAMCOIND,289.4,-1.4,-0.09
543242,HEMIPROP,152.65,-0.75,-0.09
542904,UJJIVANSFB,30.35,-0.25,-0.09
533104,GLOBUSSPR,675.9,-7.15,-0.09
541956,IRCON,46.25,-0.5,-0.09
533158,THANGAMAYL,835.6,-11.85,-0.09
520008,RICOAUTO,51.15,-0.8,-0.09
532987,RBL,1069.2,2.6,-0.1
524200,VINATIORGA,1912.25,-2.3,-0.1
514162,WELSPUNIND,125.3,-0.2,-0.1
500285,SPICEJET,78.7,-0.25,-0.1
531508,EVEREADY,315.5,-1.05,-0.1
532527,RKFORGE,745.8,-3.75,-0.1
534758,CIGNITI,647.85,-3.35,-0.1
541700,TCNSBRANDS,594.95,-3.15,-0.1
538567,GULFOILLUB,667.85,-4.2,-0.1
534139,SCHNEIDER,129.2,-1,-0.1
542649,RVNL,31.5,-0.25,-0.1
506390,CLNINDIA,592.9,-5.05,-0.1
505010,AUTOAXLES,1407.75,-13.1,-0.1
533552,RUPA,480.6,-4.85,-0.1
540425,SHANKARA,527.3,-5.8,-0.1
500877,APOLLOTYRE,230.9,-0.2,-0.11
500038,BALRAMCHIN,345.35,-0.55,-0.11
540743,GODREJAGRO,658.55,-2.1,-0.11
530813,KRBL,285.3,-1.2,-0.11
532349,TCI,400.45,-2.6,-0.11
531209,NUCLEUS,704.5,-7.05,-0.11
532705,JAGRAN*,66.4,-0.7,-0.11
500404,SUNFLAG,82.55,-0.9,-0.11
532475,APTECHT,247.75,-3.05,-0.11
503960,BBL,1373.1,-18.1,-0.11
540692,APEX,384.65,-7.45,-0.11
532210,CUB,161.75,-0.1,-0.12
540902,AMBER,3030.35,-4.35,-0.12
532885,CENTRALBK,25.4,-0.15,-0.12
540530,HUDCO,52.65,-0.35,-0.12
500672,NOVARTIND,1003.65,-9.65,-0.12
532851,INSECTICID*,736.25,-11.05,-0.12
540073,BLS,135.7,-2.6,-0.12
500710,AKZOINDIA,2283.8,-6.9,-0.13
500690,GSFC,114.3,-0.35,-0.13
532525,MAHABANK,24,-0.15,-0.13
532967,KIRIINDUS,597.3,-3.9,-0.13
