Date,Open,High,Low,Close
27-06-2017,11.5575,12.8675,10.93,12.5075
28-06-2017,12.5075,12.755,11.0925,11.99
29-06-2017,11.99,11.99,10.595,11.3825
30-06-2017,11.3825,12.1025,11.0775,11.7325
03-07-2017,11.7325,11.75,10.455,11.2
04-07-2017,11.2,11.645,10.42,11.275
05-07-2017,11.275,11.42,10.45,11.1525
06-07-2017,11.1525,11.175,10.2875,10.9825
07-07-2017,10.9825,11.125,9.6149998,10.8675
10-07-2017,10.8675,11.0925,9.5699997,10.8675
11-07-2017,10.9125,11.0775,9.8975,10.89
12-07-2017,10.89,11.3,9.6724997,11.0525
13-07-2017,11.0525,11.395,9.8599997,11.2475
14-07-2017,11.2475,11.4775,10.065,11.1725
17-07-2017,11.1725,11.5675,10.48,11.4575
18-07-2017,11.4575,11.79,10.285,11.49
19-07-2017,11.49,11.685,9.0775003,11.255
20-07-2017,11.255,11.5675,10.37,11.315
21-07-2017,11.315,11.715,9.0074997,11.085
24-07-2017,11.085,11.795,10.3575,11.3125
25-07-2017,11.3125,11.5125,10.235,10.9125
26-07-2017,10.9125,11.775,10.9075,11.17
