time,open,high,low,close,Volume,Volume MA
1560396600,36780,37143,36685,37122,22867,23110.15
1560483000,37151,37693,37021,37060,38602,23629.8
1560742200,37150,37273,36971,37116,24471,23672.15
1560828600,37087,37470,37087,37324,33799,24353.35
1560915000,37323,37415,37231,37320,17852,24433.35
1561001400,37400,38465,37400,38369,45203,25946.9
1561087800,38500,38580,37741,37958,35972,26566.65
1561347000,38600,38728,38450,38598,3651,25961.35
1561433400,38664,38850,38380,38534,7884,25690.7
1561519800,38400,38463,38203,38427,7711,24591.8
1561606200,38350,38350,37983,38102,11474,23797
1561692600,38159,38268,38041,38151,15677,23402.5
1561951800,38025,38082,37691,37718,29685,23618.35
1562038200,37749,37875,37500,37838,24509,23641.35
1562124600,37900,38132,37820,37985,25352,23516.7
1562211000,37966,38048,37760,37803,16686,23104.9
1562297400,37840,39260,37700,37954,41561,23549.75
1562556600,38025,38215,37961,38048,19079,23202.45
1562643000,38050,38220,37886,38200,24767,23339.15
1562729400,38191,38468,38037,38329,24661,23573.15
1562815800,38360,38519,38115,38144,25117,23685.65
1562902200,38251,38440,38100,38407,21574,22834.25
1563161400,38356,38670,38284,38643,25763,22898.85
1563247800,38555,39490,38555,39346,45143,23466.05
1563334200,39400,40240,39254,40195,43188,24732.85
1563420600,40250,40800,40250,40755,50390,24992.2
1563507000,40820,41647,40533,40709,61525,26269.85
1563766200,40775,41378,40775,41298,33015,27738.05
1563852600,41160,41575,40836,41457,47022,29694.95
1563939000,41500,41838,41385,41793,38575,31238.15
1564025400,41727,41830,41244,41389,41209,32724.9
1564111800,41436,41470,41135,41174,33099,33596
1564371000,41247,41276,41077,41207,22072,33215.35
1564457400,41260,41620,41202,41577,30301,33504.95
1564543800,41494,41494,40980,41230,26975,33586.1
1564630200,41180,41311,40309,40993,48435,35173.55
1564716600,41300,41521,40866,41378,45082,35349.6
1564975800,41503,42664,41503,42485,48699,36830.6
1565062200,42485,42588,42132,42501,32379,37211.2
1565148600,42600,43850,42600,43797,55408,38748.55
1565235000,43500,43789,42800,43059,40359,39510.65
1565321400,43186,43550,43050,43332,39566,40410.25
1565667000,43798,44600,41933,43138,60159,42130.05
1565753400,43107,44300,43005,44091,46739,42209.85
1565926200,44250,44250,43551,43834,39010,42000.95
1566185400,43630,43630,43173,43444,33081,41135.5
1566271800,43398,43998,43236,43946,33744,39746.45
1566358200,43651,43888,43560,43820,26827,39437.05
1566444600,43660,44062,43601,43904,29613,38566.6
1566531000,43847,44647,43640,44601,38545,38565.1
1566790200,45996,46784,45996,46528,8276,36918.45
1566876600,46463,47510,46400,47472,11283,35827.65
1566963000,47400,48427,47338,48148,16628,35555.45
1567049400,48169,48800,47371,47687,23641,35222.45
1567135800,47650,48280,47650,47756,28368,35292.1
1567481400,48492,50706,48420,50600,63454,36043.05
1567567800,50700,51500,50477,51392,71633,37370.6
1567654200,51500,51500,48626,49466,79489,38910.1
1567740600,49250,49394,47488,47891,110330,42807.65
1567999800,47575,48200,47325,47744,62891,43181.8
1568172600,47800,48017,47232,47515,40776,43202.65
1568259000,47425,48098,46932,47143,63775,44413.1
1568345400,47130,47443,45635,45773,58608,44335.55
1568604600,45890,47361,45890,47233,43360,44166.6
1568691000,47140,47476,46740,47380,39317,44181.95
1568777400,47109,47171,46290,46600,38304,44443.1
1568863800,46480,46855,46122,46625,41636,44837.7
1568950200,46700,46726,46202,46464,32098,45101.25
1569209400,46648,48184,46648,48128,46088,45925
1569295800,48117,48250,47274,48040,51885,46592
1569382200,47982,48330,46500,46805,55565,48956.45
1569468600,46654,46777,46007,46395,53407,51062.65
1569555000,46322,46391,44675,45526,68320,53647.25
1569814200,45450,45450,43975,44126,54570,55193.7
1569900600,44000,45145,43970,44877,55175,56534.05
1570073400,44940,46022,44940,45651,53219,56022.3
1570159800,45730,45800,44801,45387,42545,54567.9
1570419000,45488,45586,45102,45230,29675,52077.2
1570591800,46100,46447,45811,46046,38278,48474.6
1570678200,46125,46176,45120,45429,42639,47462
1570764600,45431,45843,44905,45181,53960,48121.2
1571023800,45280,45871,45226,45828,33660,46615.45
1571110200,45828,46029,45163,45234,41694,45769.75
1571196600,45400,45480,44720,45246,48173,46010.4
1571283000,45170,45666,45003,45553,41750,46132.05
1571369400,45480,45541,45135,45465,33278,45880.75
1571628600,45599,46025,45420,45456,27679,45182.9
1571715000,45370,45625,45120,45194,34873,45321.65
1571801400,45275,45520,45272,45340,24190,44226.75
1571887800,45222,46089,45222,46010,35621,43413.55
1571974200,46050,47284,46050,46498,68041,44037.35
1572319800,45980,46200,45566,46012,46099,43671.95
1572406200,45850,46388,45845,46145,38556,42183.75
1572492600,46101,46920,46083,46770,53104,42110.45
1572579000,46695,46848,46300,46409,41405,41421.95
1572838200,46475,46895,46375,46617,36865,40604.25
1572924600,46452,46564,45380,45513,50667,41010.35
1573011000,45545,45740,45100,45673,51356,42094.4
1573097400,45631,45789,44050,44186,61445,43252.75
1573183800,44106,44465,43512,43892,56480,43944.8
1573443000,43999,44210,43642,44006,37605,43127.05
1573615800,44100,44730,44100,44546,45856,43736.85
1573702200,44603,44890,44380,44733,42662,43785.25
1573788600,44676,44676,44071,44457,35185,43135.85
1574047800,44350,44738,43925,44702,39600,43028.35
1574134200,44681,44958,44382,44872,45252,43627.05
1574220600,44790,45020,44579,44822,36617,44073.95
1574307000,44713,44872,44560,44754,32270,43943.8
1574393400,44758,44990,44464,44485,34050,44436.8
1574652600,45071,45136,44771,44962,5267,42919.1
1574739000,44962,45248,44646,45188,6964,39865.25
1574825400,45101,45113,44700,44768,6661,37893.35
1574911800,44795,44950,44703,44801,5760,36253.55
1574998200,44816,45149,44669,45078,17369,34466.8
1575257400,44945,44945,44557,44751,27653,33779.2
1575343800,44823,45487,44620,45314,38740,33872.95
1575430200,45260,45690,44337,44454,52191,33949.15
1575516600,44543,44713,44255,44634,35882,33175.45
1575603000,44556,44721,43535,43575,42880,32247.2
1575862200,43625,43745,43453,43521,23328,30589.6
