time,open,high,low,close,"IN10, TVC: Open","IN10, TVC: High","IN10, TVC: Low","IN10, TVC: Close",Volume,Volume MA
1594611900,10851.85,10894.05,10756.05,10802.7,100.06,100.14,100.01,100.02,NaN,NaN
1594698300,10750.85,10755.65,10562.9,10607.35,99.75,99.943,99.57,99.73,NaN,NaN
1594784700,10701,10827.45,10577.75,10618.2,99.65,99.81,99.65,99.8,NaN,NaN
1594871100,10706.2,10755.3,10595.2,10739.95,99.71,99.853,99.71,99.82,NaN,NaN
1594957500,10752,10933.45,10749.65,10901.7,99.75,99.953,99.7,99.88,NaN,NaN
1595216700,10999.45,11037.9,10953,11022.2,99.825,99.953,99.783,99.92,NaN,NaN
1595303100,11126.1,11179.55,11113.25,11162.25,99.81,99.95,99.67,99.7,NaN,NaN
1595389500,11231.2,11238.1,11056.55,11132.6,99.61,99.81,99.61,99.81,NaN,NaN
1595475900,11135,11239.8,11103.15,11215.45,99.733,99.88,99.733,99.88,NaN,NaN
1595562300,11149.95,11225.4,11090.3,11194.15,99.803,99.92,99.735,99.79,NaN,NaN
1595821500,11225,11225,11087.85,11131.8,99.66,99.82,99.473,99.48,NaN,NaN
1595907900,11154.1,11317.75,11151.4,11300.55,99.26,99.55,99.26,99.55,NaN,NaN
1595994300,11276.9,11341.4,11149.75,11202.85,99.4,99.685,99.4,99.66,NaN,NaN
1596080700,11254.3,11299.95,11084.95,11102.15,99.52,99.76,99.52,99.72,NaN,NaN
1596167100,11139.5,11150.4,11026.65,11073.45,99.66,99.79,99.57,99.63,NaN,NaN
1596426300,11057.55,11058.05,10882.25,10891.6,99.56,99.64,99.55,99.63,NaN,NaN
1596512700,10946.65,11112.25,10908.1,11095.25,99.5,99.733,99.5,99.66,NaN,NaN
1596599100,11155.75,11225.65,11064.05,11101.65,99.61,99.725,99.61,99.71,NaN,NaN
1596685500,11185.7,11256.8,11127.3,11200.15,99.65,99.845,99.265,99.45,NaN,NaN
1596771900,11186.65,11231.9,11142.05,11214.05,99.32,99.4,99.22,99.27,NaN,NaN
1597031100,11270.25,11337.3,11238,11270.15,99.1,99.22,99.055,99.22,NaN,NaN
1597117500,11322.25,11373.6,11299.15,11322.5,99.1,99.278,99.1,99.15,NaN,NaN
1597203900,11289,11322,11242.65,11308.4,99.01,99.315,98.98,99.29,NaN,NaN
1597290300,11334.85,11359.3,11269.95,11300.45,99.28,99.35,99.19,99.21,NaN,NaN
1597376700,11353.3,11366.25,11111.45,11178.4,98.5,98.925,98.5,98.7,NaN,NaN
1597635900,11248.9,11267.1,11144.5,11247.1,98.42,98.735,98.42,98.63,NaN,NaN
1597722300,11259.8,11401.7,11253.15,11385.35,98.51,98.633,98.49,98.55,NaN,NaN
1597808700,11452.15,11460.35,11394.1,11408.4,98.5,98.5,98.373,98.39,NaN,NaN
1597895100,11317.45,11361.45,11289.8,11312.2,98.353,98.49,98.353,98.45,NaN,NaN
1597981500,11409.65,11418.5,11362.2,11371.6,98.11,98.205,97.42,97.45,NaN,NaN
1598240700,11412,11497.25,11410.65,11466.45,97.15,97.36,96.8,96.87,NaN,NaN
1598327100,11513.1,11525.9,11423.35,11472.25,97.45,97.56,97.22,97.33,NaN,NaN
1598413500,11512.85,11561.75,11461.85,11549.6,97.14,97.48,96.96,97,NaN,NaN
1598499900,11609.3,11617.35,11540.6,11559.25,97.02,97.43,97.02,97.4,NaN,NaN
1598586300,11602.95,11686.05,11589.4,11647.6,97.103,97.75,97.07,97.74,NaN,NaN
